City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,port elizabeth,-33.918,25.5701,23.16,43,0,2.57,ZA,2023-07-14
79,bukama,-9.2,25.85,32.21,23,0,0.76,CD,2023-07-14
80,mount pearl,47.5166,-52.7813,22.19,73,75,6.17,CA,2023-07-14
81,hobyo,5.3505,48.5268,26.05,76,94,13.35,SO,2023-07-14
82,sinop,41.7711,34.8709,26.14,49,0,1.98,TR,2023-07-14
83,callao,-12.0667,-77.15,21.16,73,100,2.06,PE,2023-07-14
84,bilibino,68.0546,166.4372,15.41,71,1,0.84,RU,2023-07-14
85,zhangjiakou,40.81,114.8794,21.35,60,8,7.59,CN,2023-07-14
86,longyearbyen,78.2186,15.6401,14.91,44,0,5.14,SJ,2023-07-14
87,toyooka,35.5333,134.8333,24.74,90,100,4.2,JP,2023-07-14
88,coro,11.4045,-69.6734,30.88,61,16,9.18,VE,2023-07-14
89,new norfolk,-42.7826,147.0587,11.72,81,99,3.02,AU,2023-07-14
90,klaksvik,62.2266,-6.589,12.51,83,81,0.92,FO,2023-07-14
91,paracuru,-3.41,-39.0306,27.28,58,18,6.36,BR,2023-07-14
92,yutan,28.25,112.55,26.46,80,100,0.83,CN,2023-07-14
93,nemuro,43.3236,145.575,13.04,96,98,2.74,JP,2023-07-14
94,al quwayrah,29.8004,35.3116,37.0,12,2,5.96,JO,2023-07-14
95,bredasdorp,-34.5322,20.0403,18.11,59,92,2.1,ZA,2023-07-14
96,flying fish cove,-10.4217,105.6791,23.82,78,100,6.69,CX,2023-07-14
97,kodiak,57.79,-152.4072,10.73,87,0,2.57,US,2023-07-14
98,constantia,44.1833,28.65,31.5,51,4,4.19,RO,2023-07-14
99,belozersk,60.0326,37.7957,17.96,69,86,1.13,RU,2023-07-14
100,chonchi,-42.6128,-73.8092,6.73,84,33,2.41,CL,2023-07-14
101,tralee,52.2704,-9.7026,16.14,88,75,2.57,IE,2023-07-14
102,thunder bay,48.4001,-89.3168,19.99,73,20,2.06,CA,2023-07-14
103,mazatlan,23.2167,-106.4167,30.01,89,75,0.89,MX,2023-07-14
104,bantay,17.5847,120.3892,27.2,82,100,8.03,PH,2023-07-14
105,suntar,62.1444,117.6319,8.44,92,100,5.0,RU,2023-07-14
106,fort st. john,56.2499,-120.8529,12.94,100,100,3.09,CA,2023-07-14
107,fort bragg,35.139,-79.006,28.08,91,100,2.06,US,2023-07-14
108,sinabang,2.4803,96.3801,26.15,77,100,2.02,ID,2023-07-14
109,stanley,54.868,-1.6985,17.01,72,20,3.6,GB,2023-07-14
110,polyarnyy,69.1989,33.4478,21.3,57,65,3.82,RU,2023-07-14
111,zaozersk,69.4005,32.4476,19.99,61,15,0.57,RU,2023-07-14
112,chibougamau,49.9168,-74.3659,15.79,88,100,4.12,CA,2023-07-14
113,yuzhno-kurilsk,44.0306,145.8556,12.83,96,100,2.39,RU,2023-07-14
114,vorgashor,67.5833,63.95,18.1,57,6,2.78,RU,2023-07-14
115,mundi,22.0667,76.5,26.77,85,100,4.89,IN,2023-07-14
116,udachny,66.4167,112.4,8.03,60,86,3.91,RU,2023-07-14
117,kavaratti,10.5669,72.642,28.04,78,100,4.78,IN,2023-07-14
118,pasni,25.2631,63.471,28.47,77,60,7.26,PK,2023-07-14
119,west island,-12.1568,96.8225,24.99,73,75,6.17,CC,2023-07-14
120,badger,64.8,-147.5333,15.28,83,100,2.06,US,2023-07-14
121,prado,-17.3411,-39.2208,28.96,51,3,3.08,BR,2023-07-14
122,forster,-32.1667,152.5167,11.01,62,3,2.39,AU,2023-07-14
